,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year
67,Volkswagen,9850.0,van,126,2.0,Diesel,yes,2012
68,Audi,3700.0,hatch,420,2.0,Diesel,no,2004
69,Toyota,15700.0,crossover,195,4.0,Gas,yes,2003
70,Mercedes-Benz,24500.0,sedan,180,2.2,Diesel,yes,2012
71,Mitsubishi,7500.0,sedan,195,1.6,Gas,yes,2007
72,Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002
73,Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014
74,BMW,8200.0,sedan,287,2.5,Gas,yes,1999
75,Renault,6999.0,van,222,1.5,Diesel,yes,2009
76,Renault,6750.0,vagon,214,1.5,Diesel,yes,2004
77,Audi,18500.0,sedan,245,3.0,Diesel,yes,2006
78,Toyota,14299.0,sedan,83,2.0,Petrol,yes,2009
79,Mercedes-Benz,28500.0,crossover,210,3.2,Diesel,yes,2007
80,Mitsubishi,17000.0,crossover,89,3.8,Petrol,yes,2008
81,Mercedes-Benz,25700.0,crossover,130,4.7,Gas,yes,2008
82,Audi,2650.0,vagon,333,2.5,Diesel,no,2000
83,Mitsubishi,8500.0,sedan,116,1.5,Petrol,yes,2008
84,Mercedes-Benz,4000.0,sedan,405,2.0,Diesel,yes,1992
85,Renault,11000.0,other,131,1.5,Diesel,yes,2011
86,Mercedes-Benz,14500.0,sedan,138,2.0,Petrol,yes,2007
87,BMW,4099.0,sedan,50,2.5,Petrol,yes,1988
88,Volkswagen,31500.0,crossover,1,2.0,Petrol,yes,2014
89,Renault,4500.0,van,207,1.5,Diesel,yes,2003
90,Volkswagen,6700.0,other,207,1.9,Diesel,yes,2004
91,Mitsubishi,20800.0,crossover,31,2.4,Petrol,yes,2011
92,Mercedes-Benz,107999.0,crossover,0,2.98,Diesel,yes,2016
93,BMW,3500.0,sedan,334,2.0,Diesel,no,1999
94,Audi,39000.0,sedan,18,1.8,Other,yes,2015
95,Toyota,13500.0,crossover,150,4.7,Gas,yes,2002
96,Mitsubishi,6150.0,sedan,175,1.6,Petrol,yes,2007
97,BMW,45500.0,crossover,76,4.4,Petrol,yes,2010
98,BMW,4900.0,sedan,295,2.0,Petrol,yes,1994
99,BMW,47000.0,other,5,2.0,Petrol,yes,2014
100,Toyota,19200.0,crossover,190,2.7,Gas,yes,2005
101,Mitsubishi,11100.0,crossover,119,2.4,Gas,yes,2008
102,Mitsubishi,8200.0,sedan,139,1.5,Other,yes,2012
103,Volkswagen,10300.0,sedan,235,2.0,Petrol,yes,2007
104,Renault,11990.0,van,210,1.1,Diesel,yes,2010
105,BMW,46800.0,sedan,33,2.0,Diesel,yes,2014
106,Volkswagen,1500.0,other,260,1.8,Gas,no,1994
107,BMW,6350.0,crossover,156,4.4,Gas,no,2002
108,Mercedes-Benz,8900.0,hatch,155,1.5,Petrol,yes,2005
109,Mercedes-Benz,12700.0,van,160,3.0,Diesel,yes,2007
110,Mitsubishi,8000.0,sedan,207,1.6,Gas,yes,2007
111,Toyota,29500.0,crossover,63,4.0,Petrol,yes,2008
112,Renault,7100.0,van,208,1.5,Diesel,yes,2008
113,Renault,10850.0,crossover,103,2.5,Gas,yes,2010
114,Volkswagen,27000.0,sedan,57,2.0,Diesel,yes,2013
115,Volkswagen,18100.0,other,64,2.0,Petrol,yes,2011
116,BMW,27000.0,sedan,137,5.0,Other,yes,2005
117,BMW,8990.0,other,300,2.2,Petrol,yes,2002
118,Toyota,32900.0,crossover,82,2.7,Petrol,yes,2013
119,BMW,25500.0,other,163,4.8,Petrol,yes,2008
120,Toyota,8900.0,crossover,153,2.0,Petrol,yes,2003
121,Audi,11950.0,sedan,190,3.0,Petrol,yes,2006
122,Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010
123,BMW,13000.0,sedan,165,2.2,Gas,yes,2003
124,Audi,25000.0,other,60,2.0,Petrol,yes,2011
125,Toyota,26900.0,crossover,119,4.0,Gas,yes,2008
126,Mercedes-Benz,87777.0,van,0,2.2,Diesel,yes,2016
127,Volkswagen,6000.0,van,200,2.0,Diesel,yes,2008
128,Audi,9800.0,vagon,257,2.5,Diesel,yes,2003
129,Audi,13900.0,other,197,2.0,Diesel,yes,2006
130,Renault,12200.0,van,164,2.5,Diesel,yes,2009
131,Mercedes-Benz,13500.0,crossover,205,2.7,Diesel,yes,2005
132,BMW,18100.0,crossover,200,4.8,Petrol,yes,2005
133,BMW,33000.0,crossover,200,3.0,Diesel,yes,2010
134,Volkswagen,16900.0,crossover,145,1.4,Petrol,yes,2011
135,Mercedes-Benz,22000.0,sedan,110,1.8,Petrol,yes,2011
136,Volkswagen,10700.0,sedan,195,3.2,Petrol,yes,2007
137,Mercedes-Benz,7800.0,sedan,226,2.2,Diesel,yes,2000
138,Mercedes-Benz,17300.0,sedan,184,1.8,Gas,yes,2008
139,BMW,70000.0,sedan,16,3.0,Diesel,yes,2014
140,Volkswagen,2200.0,hatch,118,1.4,Petrol,no,2001
141,BMW,8900.0,sedan,256,2.2,Petrol,yes,2002
142,Mercedes-Benz,31600.0,sedan,33,1.6,Petrol,yes,2013
143,Volkswagen,7900.0,other,168,1.9,Diesel,yes,2006
144,Toyota,28500.0,crossover,97,3.5,Petrol,yes,2012
145,Renault,6900.0,van,140,1.5,Diesel,yes,2012
146,BMW,8850.0,vagon,280,2.5,Diesel,yes,2000
147,Renault,3100.0,van,164,1.4,Petrol,yes,1999
148,BMW,8900.0,sedan,250,2.5,Petrol,yes,2000
149,Renault,6100.0,sedan,130,1.4,Petrol,yes,2005
150,BMW,1400.0,sedan,260,1.8,Petrol,no,1996
151,Volkswagen,8800.0,van,93,1.6,Diesel,yes,2012
152,Renault,10299.0,other,176,2.0,Diesel,yes,2013
153,Renault,6500.0,sedan,170,1.6,Petrol,yes,2004
154,Toyota,9100.0,sedan,151,1.6,Gas,yes,2007
155,Volkswagen,9950.0,hatch,95,1.4,Petrol,yes,2010
156,Toyota,24500.0,crossover,260,4.7,Gas,yes,2003
157,Audi,51500.0,crossover,27,3.0,Diesel,yes,2013
158,Volkswagen,12900.0,van,290,1.9,Diesel,yes,2008
159,Mercedes-Benz,8000.0,van,250,2.2,Diesel,yes,2006
160,Mitsubishi,8100.0,sedan,112,2.4,Petrol,yes,2007
161,Renault,10100.0,van,164,2.0,Diesel,yes,2012
162,BMW,1900.0,sedan,300,2.5,Diesel,no,1997
163,Renault,10800.0,van,187,2.0,Diesel,yes,2012
164,Audi,8000.0,sedan,234,4.2,Gas,no,2004
165,Mercedes-Benz,15300.0,other,120,2.6,Petrol,yes,2004
166,Volkswagen,2350.0,hatch,182,1.9,Diesel,no,1998
167,BMW,38888.0,vagon,5,0.65,Other,yes,2015
168,Toyota,99999.0,crossover,0,4.5,Diesel,yes,2016
169,Volkswagen,17650.0,sedan,110,1.8,Petrol,yes,2012
170,Volkswagen,12999.0,van,237,2.5,Diesel,yes,2005
171,Mercedes-Benz,18500.0,other,90,1.8,Petrol,yes,2008
172,Volkswagen,9200.0,sedan,195,2.0,Petrol,yes,2006
173,Volkswagen,14500.0,sedan,1,1.6,Other,yes,2016
174,Volkswagen,18000.0,vagon,18,1.6,Diesel,yes,2011
175,Mercedes-Benz,6800.0,van,250,1.7,Diesel,yes,2003
176,BMW,20500.0,crossover,73,2.0,Petrol,yes,2011
177,BMW,28000.0,other,100,5.0,Petrol,yes,2005
178,Volkswagen,10650.0,van,130,2.0,Diesel,yes,2011
179,Volkswagen,20300.0,other,30,1.4,Petrol,yes,2013
180,Volkswagen,3000.0,vagon,267,1.9,Diesel,no,1999
181,Toyota,25250.0,crossover,112,4.5,Gas,yes,2007
182,Mitsubishi,1389.0,hatch,245,1.3,Petrol,no,1996
183,Mercedes-Benz,17600.0,sedan,174,4.0,Diesel,yes,2005
184,Mercedes-Benz,14200.0,van,180,2.2,Diesel,yes,2007
185,BMW,13700.0,crossover,270,4.6,Gas,yes,2004
186,Mercedes-Benz,23900.0,sedan,187,5.5,Petrol,yes,2007
187,Volkswagen,32000.0,sedan,144,3.6,Petrol,yes,2013
188,BMW,4599.0,sedan,267,2.0,Gas,yes,1991
189,Volkswagen,2350.0,sedan,300,1.9,Diesel,no,1998
190,Audi,19999.0,vagon,160,2.0,Petrol,yes,2010
191,BMW,28900.0,sedan,78,2.0,Petrol,yes,2012
192,Volkswagen,3800.0,sedan,300,2.8,Gas,yes,1996
193,Volkswagen,1800.0,other,300,1.3,Petrol,yes,1989
194,Volkswagen,9700.0,sedan,201,2.0,Petrol,yes,2007
195,Mitsubishi,25342.2,other,1,2.5,Diesel,yes,2016
196,Volkswagen,24900.0,sedan,1,1.6,Diesel,yes,2016
197,Renault,4999.0,sedan,140,1.4,Petrol,yes,2011
198,BMW,4700.0,sedan,390,2.5,Petrol,yes,1991
199,Mercedes-Benz,4999.0,sedan,1,2.8,Petrol,yes,1997
200,Mercedes-Benz,9299.0,sedan,350,2.7,Diesel,yes,2000
201,Mercedes-Benz,25000.0,sedan,130,5.5,Petrol,yes,2007
202,Mitsubishi,12900.0,crossover,148,3.0,Gas,yes,2008
203,Audi,9700.0,vagon,189,2.5,Diesel,yes,2003
204,Renault,10100.0,van,64,2.0,Diesel,yes,2014
205,BMW,2800.0,sedan,296,3.0,Diesel,no,2001
206,Mercedes-Benz,13500.0,van,350,2.9,Diesel,yes,2000
207,Mitsubishi,8900.0,hatch,125,1.8,Petrol,yes,2009
208,Mercedes-Benz,109999.0,crossover,0,3.0,Diesel,yes,2016
209,Mercedes-Benz,11500.0,sedan,180,3.2,Gas,yes,2004
210,BMW,36900.0,crossover,82,3.0,Petrol,yes,2010
211,Toyota,33200.0,crossover,150,4.0,Gas,yes,2010
212,Volkswagen,10200.0,van,253,2.5,Diesel,yes,2008
213,Volkswagen,16999.0,sedan,0,1.6,Petrol,yes,2016
214,Toyota,10800.0,sedan,179,3.0,Gas,yes,2005
215,Mercedes-Benz,35500.0,other,99,2.99,Diesel,yes,2011
216,Volkswagen,9900.0,hatch,156,1.6,Petrol,yes,2007
217,Renault,7900.0,vagon,91,1.5,Diesel,yes,2008
218,Mercedes-Benz,13900.0,sedan,216,2.2,Diesel,yes,2007
219,Volkswagen,20000.0,sedan,102,1.8,Petrol,yes,2011
220,Toyota,28500.0,crossover,38,2.2,Diesel,yes,2015
221,Mitsubishi,7200.0,sedan,178,1.6,Petrol,yes,2007
222,Mitsubishi,9000.0,crossover,200,2.0,Gas,yes,2006
223,Audi,36500.0,crossover,115,3.0,Diesel,yes,2010
224,Volkswagen,8000.0,hatch,41,1.0,Petrol,yes,2012
225,Audi,43000.0,other,11,1.8,Petrol,yes,2015
226,Toyota,13700.0,sedan,48,1.4,Diesel,yes,2013
227,Toyota,7899.0,sedan,165,1.8,Gas,yes,2006
228,Renault,13999.0,van,180,2.0,Diesel,yes,2012
229,Volkswagen,10500.0,van,176,1.6,Diesel,yes,2012
230,Volkswagen,20800.0,other,160,2.0,Diesel,yes,2012
231,Mercedes-Benz,32000.0,crossover,176,3.2,Gas,yes,2003
232,Mercedes-Benz,14500.0,sedan,220,5.0,Petrol,yes,2004
233,Toyota,16900.0,hatch,20,1.6,Petrol,yes,2014
234,Mercedes-Benz,13600.0,van,172,2.2,Diesel,yes,2013
235,Audi,2600.0,vagon,273,2.5,Diesel,no,1999
236,BMW,12000.0,sedan,237,3.0,Diesel,yes,2003
237,Volkswagen,18800.0,vagon,106,1.6,Diesel,yes,2013
238,Toyota,35500.0,crossover,85,3.0,Diesel,yes,2012
239,Mercedes-Benz,29900.0,other,71,5.5,Petrol,yes,2007
240,Renault,6750.0,other,110,1.5,Diesel,yes,2012
241,BMW,34900.0,crossover,117,3.0,Petrol,yes,2011
242,Volkswagen,7700.0,van,177,1.9,Diesel,yes,2008
243,Renault,9250.0,vagon,220,1.5,Diesel,yes,2010
244,Renault,8400.0,hatch,84,1.5,Diesel,yes,2011
245,Toyota,11750.0,sedan,93,1.6,Petrol,yes,2013
246,Mercedes-Benz,5800.0,van,368,2.2,Diesel,yes,2000
247,Toyota,5900.0,crossover,180,3.0,Diesel,no,2003
248,BMW,44999.0,crossover,87,3.0,Diesel,yes,2011
249,Volkswagen,10500.0,van,170,1.6,Diesel,yes,2013
250,Mercedes-Benz,17900.0,sedan,190,3.0,Diesel,yes,2007
251,Audi,9999.0,sedan,190,3.0,Petrol,yes,2007
252,Audi,9999.0,sedan,190,2.5,Diesel,yes,2003
253,Volkswagen,61000.0,crossover,2,3.0,Diesel,yes,2016
254,Toyota,38300.0,crossover,130,5.7,Gas,yes,2009
255,Toyota,17700.0,sedan,30,1.6,Petrol,yes,2014
256,Volkswagen,55555.0,van,50,2.0,Diesel,yes,2013
257,BMW,18000.0,crossover,280,3.0,Diesel,yes,2005
258,Renault,7600.0,other,125,1.5,Diesel,yes,2013
259,Renault,6900.0,sedan,68,1.5,Diesel,yes,2013
260,Renault,15635.1,vagon,0,1.5,Diesel,yes,2016
261,Renault,10550.0,van,195,2.0,Diesel,yes,2011
262,Volkswagen,12500.0,van,190,1.9,Diesel,yes,2008
263,Audi,13000.0,sedan,157,3.0,Petrol,yes,2006
264,BMW,7400.0,sedan,285,4.4,Gas,yes,1997
265,Renault,9500.0,hatch,100,1.5,Diesel,yes,2009
266,Audi,18800.0,crossover,197,4.2,Petrol,yes,2007
267,Toyota,8000.0,sedan,176,3.0,Petrol,yes,2002
268,Volkswagen,8700.0,vagon,250,1.9,Diesel,yes,2002
269,Mercedes-Benz,9999.0,crossover,300,3.2,Petrol,yes,1998
270,Volkswagen,16700.0,sedan,175,2.0,Petrol,yes,2011
271,Toyota,13900.0,hatch,90,1.6,Petrol,yes,2012
272,Volkswagen,18700.0,other,145,2.0,Diesel,yes,2011
273,Mitsubishi,6200.0,sedan,152,1.6,Petrol,yes,2006
274,Renault,3600.0,van,22,1.9,Diesel,yes,2001
275,Renault,7500.0,vagon,98,1.4,Petrol,yes,2007
276,Renault,2300.0,van,200,1.9,Diesel,yes,2002
277,Volkswagen,16900.0,crossover,133,2.5,Diesel,yes,2007
278,Mitsubishi,13499.0,crossover,116,2.4,Petrol,yes,2008
279,Renault,5700.0,van,180,1.5,Diesel,yes,2007
280,Mitsubishi,17900.0,crossover,140,3.8,Gas,yes,2007
281,Volkswagen,13900.0,other,170,1.9,Diesel,yes,2006
282,Audi,7950.0,vagon,167,2.5,Diesel,yes,2000
283,BMW,9700.0,sedan,250,2.0,Petrol,yes,2003
284,Volkswagen,7500.0,sedan,240,1.8,Petrol,yes,2002
285,Audi,19999.0,crossover,117,4.2,Petrol,yes,2007
286,BMW,9100.0,sedan,230,2.0,Gas,yes,2004
287,Volkswagen,13300.0,hatch,73,1.4,Petrol,yes,2011
288,Volkswagen,21000.0,hatch,22,1.2,Other,yes,2014
289,Audi,6600.0,sedan,360,1.8,Petrol,yes,1998
290,Audi,7600.0,vagon,226,3.0,Diesel,no,2006
291,Mercedes-Benz,3500.0,hatch,258,1.7,Diesel,no,2002
292,Volkswagen,3500.0,sedan,3,1.8,Petrol,yes,1991
293,Mercedes-Benz,17900.0,van,167,2.2,Diesel,yes,2012
294,Renault,1950.0,vagon,286,1.9,Diesel,no,2001
295,Volkswagen,7990.0,sedan,90,1.4,Petrol,yes,2003
296,Volkswagen,6500.0,sedan,320,1.9,Diesel,yes,2001
297,Mitsubishi,3500.0,sedan,300,2.0,Diesel,yes,1996
298,Toyota,14100.0,sedan,113,2.4,Gas,yes,2009
299,Toyota,2999.0,other,300,1.6,Petrol,yes,1991
300,BMW,66900.0,crossover,70,3.0,Diesel,yes,2014
301,Toyota,13100.0,sedan,200,3.5,Gas,yes,2006
302,Volkswagen,6900.0,sedan,300,1.8,Petrol,yes,1998
303,Volkswagen,23999.0,sedan,80,2.0,Diesel,yes,2014
304,Mitsubishi,6990.0,crossover,225,2.5,Petrol,yes,1997
305,Toyota,13999.0,sedan,198,2.4,Gas,yes,2009
306,Renault,7600.0,van,108,1.0,Diesel,yes,2013
307,Renault,11100.0,vagon,180,1.5,Diesel,yes,2012
308,Mercedes-Benz,16500.0,other,260,2.2,Diesel,yes,2011
309,Mercedes-Benz,44000.0,other,82,5.5,Petrol,yes,2010
310,Audi,39900.0,other,12,1.8,Petrol,yes,2014
311,Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011
312,BMW,8000.0,crossover,214,4.4,Petrol,no,2000
313,BMW,11600.0,sedan,142,2.0,Petrol,yes,2005
314,Renault,11500.0,vagon,170,1.5,Diesel,yes,2012
315,Volkswagen,13700.0,other,103,2.0,Diesel,yes,2011
316,Mercedes-Benz,13700.0,van,198,3.2,Gas,yes,2006
317,Renault,7700.0,vagon,200,1.5,Diesel,yes,2007
318,Mercedes-Benz,5800.0,sedan,231,2.2,Petrol,yes,1994
319,Volkswagen,9500.0,sedan,95,2.0,Petrol,yes,2007
320,Mercedes-Benz,24900.0,sedan,140,5.5,Petrol,yes,2009
321,Volkswagen,55500.0,crossover,47,3.0,Diesel,yes,2016
322,Volkswagen,6500.0,van,186,2.8,Petrol,yes,2000
323,Mercedes-Benz,8300.0,sedan,175,3.2,Diesel,no,2006
324,Mitsubishi,12000.0,crossover,130,3.0,Gas,yes,2007
325,Mercedes-Benz,15000.0,crossover,185,3.7,Gas,yes,2005
326,BMW,8100.0,sedan,246,3.0,Diesel,yes,2000
327,Renault,8000.0,sedan,175,2.0,Gas,yes,2005
328,Mercedes-Benz,5500.0,van,285,2.3,Diesel,yes,1999
329,Renault,9600.0,vagon,184,1.5,Diesel,yes,2011
330,BMW,10800.0,sedan,180,2.0,Petrol,yes,2002
331,Mercedes-Benz,10999.0,van,263,2.2,Diesel,yes,2005
332,BMW,44000.0,crossover,80,3.0,Diesel,yes,2012
333,Toyota,19200.0,hatch,54,1.4,Other,yes,2012
334,Mercedes-Benz,19600.0,van,127,1.8,Diesel,yes,2013
335,Volkswagen,9000.0,sedan,135,1.6,Gas,yes,2011
336,BMW,10900.0,sedan,245,3.0,Diesel,yes,2003
337,Volkswagen,12900.0,van,180,2.0,Diesel,yes,2012
338,BMW,6600.0,sedan,285,2.5,Petrol,yes,1999
339,Renault,15820.35,sedan,0,1.5,Diesel,yes,2016
340,Toyota,10200.0,sedan,180,2.4,Petrol,yes,2003
341,Mercedes-Benz,6000.0,sedan,366,3.2,Gas,yes,1994
342,Audi,3500.0,sedan,1,2.0,Other,yes,1988
343,Volkswagen,7800.0,van,380,2.5,Diesel,yes,1999
344,Toyota,35900.0,crossover,84,3.0,Diesel,yes,2013
345,Renault,11700.0,crossover,90,1.5,Diesel,yes,2011
346,Volkswagen,15200.0,crossover,58,2.0,Petrol,yes,2008
347,Mercedes-Benz,2500.0,sedan,111,2.3,Gas,yes,1992
348,Volkswagen,16800.0,other,164,2.0,Diesel,yes,2010
349,BMW,50499.0,sedan,128,3.0,Diesel,yes,2013
350,BMW,2250.0,sedan,300,2.5,Petrol,no,1997
351,Mercedes-Benz,9300.0,sedan,270,2.7,Diesel,yes,2001
352,Toyota,11500.0,van,161,2.5,Diesel,yes,2002
353,BMW,13000.0,sedan,304,4.4,Other,yes,2002
354,Mercedes-Benz,7500.0,sedan,319,3.2,Gas,yes,1997
355,Mercedes-Benz,17999.0,other,38,2.0,Petrol,yes,2009
356,Renault,7300.0,vagon,162,1.5,Diesel,yes,2006
357,Toyota,29900.0,crossover,117,3.0,Diesel,yes,2008
358,Renault,4950.0,vagon,170,1.5,Diesel,yes,2004
359,Audi,36000.0,vagon,40,3.0,Diesel,yes,2010
360,Audi,1700.0,sedan,177,1.6,Petrol,no,1996
361,Audi,12450.0,vagon,1,2.0,Diesel,yes,2008
362,Volkswagen,13893.75,sedan,0,1.6,Petrol,yes,2016
363,Volkswagen,44600.0,crossover,60,3.0,Diesel,yes,2013
364,Toyota,35138.29,crossover,0,2.0,Petrol,yes,2016
365,BMW,3500.0,sedan,313,2.5,Diesel,yes,1994
366,Mercedes-Benz,12800.0,other,260,2.7,Diesel,yes,2005
367,Volkswagen,27000.0,sedan,85,2.0,Diesel,yes,2013
368,Volkswagen,14800.0,sedan,143,2.0,Diesel,yes,2010
369,Renault,2200.0,other,155,1.6,Petrol,no,2004
370,Volkswagen,2900.0,van,433,2.4,Diesel,no,1995
371,Audi,12000.0,sedan,200,6.0,Petrol,yes,2004
372,Volkswagen,41000.0,crossover,180,3.0,Diesel,yes,2013
373,Audi,16300.0,vagon,180,3.2,Petrol,yes,2006
374,Renault,5300.0,van,145,1.5,Other,yes,2010
375,Mercedes-Benz,40500.0,sedan,39,2.2,Diesel,yes,2015
376,Mercedes-Benz,4300.0,van,300,2.2,Diesel,no,2005
377,Volkswagen,4000.0,crossover,137,2.5,Diesel,no,2004
378,Volkswagen,9600.0,hatch,132,1.6,Petrol,yes,2007
379,Mitsubishi,18000.0,crossover,112,3.0,Gas,yes,2008
380,Renault,11300.0,vagon,184,1.5,Diesel,yes,2011
381,Volkswagen,4999.0,hatch,131,1.4,Petrol,yes,2002
382,Mercedes-Benz,24999.0,sedan,112,2.2,Diesel,yes,2012
383,Toyota,23300.0,crossover,93,2.7,Other,yes,2011
384,Toyota,14900.0,crossover,124,4.0,Petrol,yes,2006
385,Audi,22800.0,sedan,184,2.7,Diesel,yes,2010
386,Mercedes-Benz,35500.0,sedan,137,3.0,Diesel,yes,2011
387,Volkswagen,15000.0,other,280,2.8,Diesel,yes,2006
388,Toyota,8650.0,sedan,132,1.6,Petrol,yes,2008
389,Mitsubishi,22400.0,crossover,96,2.5,Diesel,yes,2011
390,Mitsubishi,10400.0,sedan,123,2.0,Petrol,yes,2009
391,Audi,10500.0,vagon,198,4.2,Gas,yes,2005
392,Renault,11900.0,crossover,68,1.5,Diesel,yes,2011
393,BMW,36900.0,sedan,17,2.0,Petrol,yes,2013
394,BMW,24500.0,crossover,170,3.0,Diesel,yes,2006
395,Volkswagen,4700.0,van,400,2.4,Diesel,yes,1999
396,Toyota,18100.0,hatch,30,1.6,Petrol,yes,2013
397,Mercedes-Benz,115000.0,sedan,47,4.6,Petrol,yes,2013
398,Mercedes-Benz,10900.0,sedan,217,3.2,Diesel,yes,2002
399,BMW,7000.0,sedan,280,3.0,Petrol,yes,2001
400,Volkswagen,9999.0,vagon,161,2.0,Diesel,yes,2008
401,Mitsubishi,12300.0,other,160,2.5,Diesel,yes,2008
402,Volkswagen,67622.55,crossover,0,3.0,Diesel,yes,2016
403,Volkswagen,18900.0,other,45,2.0,Diesel,yes,2013
404,Volkswagen,6999.0,sedan,248,1.8,Petrol,yes,2002
405,Mercedes-Benz,10250.0,sedan,261,1.8,Petrol,yes,2003
406,Toyota,3500.0,sedan,286,1.6,Petrol,yes,2000
407,BMW,13500.0,crossover,250,3.0,Diesel,no,2006
408,BMW,2450.0,sedan,328,2.5,Diesel,no,1996
409,Volkswagen,7500.0,van,180,2.5,Diesel,yes,2004
410,Volkswagen,4900.0,vagon,263,2.0,Diesel,no,2007
411,Mercedes-Benz,5000.0,vagon,248,2.0,Gas,yes,1996
412,BMW,29900.0,crossover,235,3.0,Diesel,yes,2009
413,Renault,7000.0,sedan,110,1.4,Petrol,yes,2012
414,Mitsubishi,11800.0,sedan,1,1.5,Gas,yes,2010
415,Mercedes-Benz,16500.0,van,223,2.2,Diesel,yes,2009
416,BMW,5300.0,sedan,147,2.2,Gas,no,2001
